step,train_loss,dev_loss,learning_rate
250,5.2442946434021,5.209618282318115,0.0012
500,4.620591163635254,4.470358896255493,0.0012
750,4.2088518142700195,4.233336353302002,0.0012
1000,4.2321977615356445,4.103603863716126,0.0012
1250,3.977163553237915,4.018811047077179,0.0012
1500,4.055228233337402,3.9558431029319765,0.0012
1750,4.028050422668457,3.9063352942466736,0.0012
2000,3.8189804553985596,3.8657692193984987,0.0012
2250,3.635669231414795,3.8325490832328795,0.0012
2500,3.745753288269043,3.804869568347931,0.0012
2750,3.825498104095459,3.779229438304901,0.0012
3000,3.7811574935913086,3.753960704803467,0.0012
3250,3.695742130279541,3.737268352508545,0.0012
3500,3.51065731048584,3.7212905406951906,0.0012
3750,3.784169912338257,3.706115794181824,0.0012
4000,3.722900867462158,3.6883652806282043,0.0012
4250,3.805875301361084,3.6734190464019774,0.0012
4500,3.768270969390869,3.660843753814697,0.0012
4750,3.869136095046997,3.6473323345184325,0.0012
5000,3.4099998474121094,3.638270080089569,0.0012
5250,3.4581379890441895,3.6296406149864198,0.0012
5500,3.705483913421631,3.6184377431869508,0.0012
5750,3.645564317703247,3.610103416442871,0.0012
6000,3.621443033218384,3.6011767387390137,0.0012
6250,3.572269916534424,3.5930469036102295,0.0012
6500,3.760108470916748,3.5837833523750304,0.0012
6750,3.65594744682312,3.5751973748207093,0.0012
7000,3.737760066986084,3.5677981615066527,0.0012
7250,3.751880645751953,3.561928451061249,0.0012
7500,3.5616157054901123,3.5566128492355347,0.0012
7750,3.4818174839019775,3.5500343203544618,0.0012
8000,3.5013065338134766,3.543896222114563,0.0012
8250,3.659214496612549,3.539607512950897,0.0012
8500,3.5966861248016357,3.534622597694397,0.0012
8750,3.602957248687744,3.5258763432502747,0.0012
9000,3.5350332260131836,3.5221094846725465,0.0012
9250,3.613759756088257,3.5190664172172545,0.0012
9500,3.449291706085205,3.512680745124817,0.0012
9750,3.3061325550079346,3.507099282741547,0.0012
10000,3.5302765369415283,3.5028446555137633,0.0012
10250,3.536635398864746,3.4979636907577514,0.0012
10500,3.480954170227051,3.4953885316848754,0.0012
10750,3.3934574127197266,3.4898441195487977,0.0012
11000,3.434736967086792,3.4871503114700317,0.0012
11250,3.388363838195801,3.483715307712555,0.0012
11500,3.4579010009765625,3.4791842699050903,0.0012
11750,3.52449631690979,3.4761207342147826,0.0012
12000,3.537245273590088,3.4722710490226745,0.0012
12250,3.4568142890930176,3.468248891830444,0.0012
12500,3.4622082710266113,3.463697111606598,0.0012
12750,3.425776958465576,3.461265730857849,0.0012
13000,3.406710147857666,3.4593615889549256,0.0012
13250,3.608896255493164,3.4559266328811646,0.0012
13500,3.468557357788086,3.452899122238159,0.0012
13750,3.524596929550171,3.4488072991371155,0.0012
14000,3.5010101795196533,3.444661855697632,0.0012
14250,3.2678635120391846,3.443875586986542,0.0012
14500,3.347074508666992,3.4396732687950133,0.0012
14750,3.425398826599121,3.4385135889053347,0.0012
15000,3.4045047760009766,3.43553386926651,0.0012
15250,3.542567253112793,3.434784996509552,0.0012
15500,3.3455443382263184,3.4311832070350645,0.0012
15750,3.5696299076080322,3.4536176204681395,0.0012
16000,3.445769786834717,3.452422332763672,0.0012
16250,3.456022262573242,3.450656223297119,0.0012
16500,3.6323320865631104,3.4470919489860536,0.0012
16750,3.494990110397339,3.4448222875595094,0.0012
17000,3.455521583557129,3.4421976804733276,0.0012
17250,3.4326348304748535,3.440143346786499,0.0012
17500,3.5189409255981445,3.4376018404960633,0.0012
17750,3.3027169704437256,3.4338241815567017,0.0012
18000,3.238600254058838,3.4348236322402954,0.0012
18250,3.2602617740631104,3.4325742959976195,0.0012
18500,3.499063491821289,3.4305457711219787,0.0012
18750,3.332907199859619,3.430318999290466,0.0012
19000,3.383105754852295,3.42670624256134,0.0012
19250,3.3057661056518555,3.426544690132141,0.0012
19500,3.489408016204834,3.424656569957733,0.0012
19750,3.3830838203430176,3.423144853115082,0.0012
20000,3.406554698944092,3.4196146368980407,0.0012
20250,3.5171492099761963,3.4187445878982543,0.0012
20500,3.4179816246032715,3.416695201396942,0.0012
20750,3.372828483581543,3.415934646129608,0.0012
21000,3.2704708576202393,3.4156209349632265,0.0012
21250,3.4961681365966797,3.4131251692771913,0.0012
21500,3.439741849899292,3.4141964673995973,0.0012
21750,3.3292152881622314,3.4110597491264345,0.0012
22000,3.3523917198181152,3.410492503643036,0.0012
22250,3.257662773132324,3.408935856819153,0.0012
22500,3.485231876373291,3.406103491783142,0.0012
22750,3.507686138153076,3.4048508405685425,0.0012
23000,3.651599407196045,3.4019633531570435,0.0012
23250,3.365424156188965,3.4015973925590517,0.0012
23500,3.4582502841949463,3.3994457483291627,0.0012
23750,3.4154720306396484,3.3994165778160097,0.0012
24000,3.3296756744384766,3.3984641551971437,0.0012
24250,3.404451370239258,3.396506202220917,0.0012
24500,3.3719539642333984,3.395887792110443,0.0012
24750,3.5072526931762695,3.3938753962516786,0.0012
25000,3.578124761581421,3.3931039571762085,0.0012
